Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Bejiharjo Edupark,0.0,1.0,0.4,1,1,1,0
The Manglung View,0.0,1.0,0.4,1,1,1,0
HEHA Forest,0.0,1.0,0.4,1,1,1,0
Taman Pintar,0.0,1.0,0.4,1,1,1,0
Embung Kleco,0.0,1.0,0.4,1,1,1,0
Gembira Loka Zoo,0.0,1.0,0.4,1,1,1,0
Kaliurang Park Botanical Garden ,0.0,1.0,0.4,1,1,1,0
Satoloka,0.0,1.0,0.4,1,1,1,0
Drini Park,0.0,1.0,0.4,1,1,1,0
Telaga Kemuning,0.0,1.0,0.4,1,1,1,0
Omah Salak,0.0,1.0,0.4,1,1,1,0
Grand Puri Waterpark,0.0,1.0,0.4,1,1,1,0
Pantai Sadeng,0.0,0.0,0.0,1,57,57,-56
Gua Kiskendo,0.0,0.0,0.0,1,57,57,-56
Wisata Alam Kalibiru,0.0,0.0,0.0,1,57,57,-56
Pantai Sanglen,0.0,0.0,0.0,1,57,57,-56
Ayunan Langit,0.0,0.0,0.0,1,57,57,-56
Petilasan Gunung Gambar ,0.0,0.0,0.0,1,57,57,-56
Museum Dr. Yap Prawirohusodo,0.0,0.0,0.0,1,57,57,-56
Bunker Kaliadem,0.0,0.0,0.0,1,57,57,-56
Gua Selarong,0.0,0.0,0.0,1,57,57,-56
Pantai Watu Lawang,0.0,0.0,0.0,1,57,57,-56
Gua Ngingrong dan Lembah Karst Ngingrong ,0.0,0.0,0.0,1,57,57,-56
Glamping Menoreh,0.0,0.0,0.0,1,57,57,-56
Kawasan Gua Cerme,0.0,0.0,0.0,1,57,57,-56
Museum Geoteknologi Mineral UPN,0.0,0.0,0.0,1,57,57,-56
Keraton Ratu Boko,0.0,0.0,0.0,1,57,57,-56
Wunung Giriselokondo ,0.0,0.0,0.0,1,57,57,-56
Situs Surocolo/ Gua Sunan Mas,0.0,0.0,0.0,1,57,57,-56
Kebun Teh Tritis ,0.0,0.0,0.0,1,57,57,-56
Hutan Mangrove Kadilangu,0.0,0.0,0.0,1,57,57,-56
Blue Lagoon,0.0,0.0,0.0,1,57,57,-56
Kawasan Hutan Wanasadi,0.0,0.0,0.0,1,57,57,-56
Makam Raja-Raja Imogiri,0.0,0.0,0.0,1,57,57,-56
Wisata Alam Kedung Banteng ,0.0,0.0,0.0,1,57,57,-56
Bukit Klangon,0.0,0.0,0.0,1,57,57,-56
Petilasan Kembang Lampir,0.0,0.0,0.0,1,57,57,-56
Tahura Bunder,0.0,0.0,0.0,1,57,57,-56
Gua Braholo,0.0,0.0,0.0,1,57,57,-56
Air Terjun Banyunibo,0.0,0.0,0.0,1,57,57,-56
Bukit Penguk Kediwung,0.0,0.0,0.0,1,57,57,-56
Monumen Perjuangan Taruna (Plataran),0.0,0.0,0.0,1,57,57,-56
Pantai Pulang Sawal,0.0,0.0,0.0,1,57,57,-56
Pantai Sarangan,0.0,0.0,0.0,1,57,57,-56
Candi Sari,0.0,0.0,0.0,1,57,57,-56
Museum Kotagede Intro Living Museum,0.0,0.0,0.0,1,57,57,-56
Situs Gembirowati,0.0,0.0,0.0,1,57,57,-56
Pantai Torohudan ,0.0,0.0,0.0,1,57,57,-56
Museum Pleret,0.0,0.0,0.0,1,57,57,-56
Pantai Ngobaran,0.0,0.0,0.0,1,57,57,-56
Pantai Banyutibo,0.0,0.0,0.0,1,57,57,-56
Wisata Bukit Watugede,0.0,0.0,0.0,1,57,57,-56
Pantai Ngedan ,0.0,0.0,0.0,1,57,57,-56
