dest1,dest2,similarity,jenis1,jenis2
Pantai Gesing,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Pantai Gesing,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Wisata Wayang Wukirsari,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Gua Maria Sendangsono ,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Affandi Museum,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Taman Sari Kraton Yogyakarta,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Gua Kiskendo,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Pantai Gesing,Tembi Rumah Budaya,0.47689724169351244,Alam,Budaya
Pantai Gesing,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Pantai Parangendog,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Air Terjun Srigethuk,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Alam Kembang Soka ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gunung Ireng,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Bekah,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Gunung Gajah ,0.47689724169351244,Budaya,Alam
Bukit lintang sewu,Tembi Rumah Budaya,0.47689724169351244,Alam,Budaya
Gua Maria Tritis,Taman Nasional Gunung Merapi,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Sesar Opak Bukit Mengger,0.47689724169351244,Budaya,Alam
Plunyon Kalikuning,Ndalem Pojokusuman / Pamulangan Beksa Sasminta Mardawa,0.47689724169351244,Alam,Budaya
Plunyon Kalikuning,Museum Wayang Kekayon,0.47689724169351244,Alam,Budaya
Plunyon Kalikuning,Kraton,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Tembi Rumah Budaya,0.47689724169351244,Alam,Budaya
Bukit Mojo Gumelem,Museum Gerabah Kasongan,0.47689724169351244,Alam,Budaya
