title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Stone Valley,4.25,1.2632278815997782,48,0.3958333333333333,0.1875,0.4166666666666667,0.8546974352008122,0.6229166666666667
Eks. Pengepul Nila Bulurejo,4.863636363636363,0.3512500866571045,22,0.2727272727272727,0.22727272727272727,0.5,0.8509101355562666,0.6227272727272727
Situs Candi Pelembutan,4.428571428571429,0.9973509887241276,28,0.35714285714285715,0.10714285714285714,0.5357142857142857,0.8792376798369667,0.6214285714285714
Pantai Ngedan,4.573770491803279,0.9909425882031486,61,0.32786885245901637,0.09836065573770492,0.5737704918032787,0.9052146861340947,0.621311475409836
Lava Bantal,4.105263157894737,1.3320796110689346,57,0.42105263157894735,0.05263157894736842,0.5263157894736842,0.8983600417948749,0.6210526315789474
Bukit Mojo Gumelem,3.9591836734693877,1.1357666954064807,49,0.4489795918367347,0.12244897959183673,0.42857142857142855,0.897711777018776,0.6204081632653061
Hutan Mangrove Kadilangu,4.2,1.1428571428571428,50,0.4,0.12,0.48,0.8775526936287906,0.6200000000000001
Sendra Tari Ramayana Ballet,4.456521739130435,1.2772630763408042,46,0.34782608695652173,0.08695652173913043,0.5652173913043478,0.9015957627973863,0.6195652173913043
Pantai Drini,4.4772727272727275,0.976196614861375,44,0.3409090909090909,0.1590909090909091,0.5,0.8554692398023477,0.6181818181818182
Pantai Nglolang,4.636363636363637,0.7035264706814484,55,0.3090909090909091,0.14545454545454545,0.5454545454545454,0.869133185421738,0.6181818181818182
Situs Gembirowati,4.641025641025641,0.7429379618209785,39,0.3076923076923077,0.2564102564102564,0.4358974358974359,0.831856440857082,0.617948717948718
Gua Pindul,4.630434782608695,0.903295095185127,46,0.30434782608695654,0.15217391304347827,0.5434782608695652,0.8518538714060157,0.6152173913043478
Monumen Pahlawan Pancasila ,4.714285714285714,0.667366579370367,35,0.2857142857142857,0.2,0.5142857142857142,0.8523069152986393,0.6142857142857143
Museum Peta,4.633333333333334,0.8502873077655144,30,0.3,0.1,0.6,0.8812181169786474,0.6133333333333334
Kawasan Hutan Wonosadi,4.466666666666667,0.7432233529572065,15,0.3333333333333333,0.2,0.4666666666666667,0.8524779518153891,0.6133333333333333
